"time","mech.Px","mech.Py"
49.66,50.028627659129576,0.7561307028049207
49.67,50.02769028613083,0.7436658998976746
49.68,50.02676849486399,0.7311999350126293
49.69,50.02586228676934,0.7187328276278322
49.7,50.024971663262846,0.7062645972231287
49.71,50.02409662573609,0.6937952632801476
49.72,50.02323717555633,0.6813248452822052
49.73,50.02239331406645,0.6688533627143229
49.74,50.021565042584996,0.6563808350631959
49.75,50.02075236240613,0.6439072818171603
49.76,50.01995527479966,0.6314327224661298
49.77,50.01917378101105,0.6189571765015849
49.78,50.01840788226138,0.6064806634165834
49.79,50.01765757974736,0.5940032027056681
49.8,50.01692287464133,0.5815248138648776
49.81,50.016203768091295,0.5690455163916717
49.82,50.01550026122082,0.5565653297849664
49.83,50.01481235512918,0.5440842735450531
49.84,50.014140050891186,0.5316023671735657
49.85,50.01348334955733,0.5191196301734884
49.86,50.01284225215372,0.506636082049102
49.87,50.012216759682055,0.4941517423059345
49.88,50.01160687311967,0.48166663045076774
49.89,50.01101259341951,0.4691807659915881
49.9,50.010433921510156,0.4566941684375614
49.91,50.00987085829575,0.4442068572989868
49.92,50.0093234046561,0.43171885208728966
49.93,50.00879156144659,0.41923017231497894
49.94,50.00827532949825,0.40674083749560097
49.95,50.007774709617664,0.394250867143743
49.96,50.00728970258705,0.3817602807749907
49.97,50.00682030916427,0.36926909790589235
49.98,50.0063665300827,0.35677733805389167
49.99,50.00592836605141,0.34428502073735956
50,50.00550581775501,0.33179216547556933
50.01,50.005098885853734,0.319298791788583
50.02,50.00470757098341,0.30680491919729036
50.03,50.004331873755476,0.29431056722338056
50.04,50.003971794756964,0.28181575538928527
50.05,50.00362733455048,0.26932050321811474
50.06,50.00329849367425,0.25682483023370395
50.07,50.00298527264209,0.24432875596057002
50.08,50.00268767194342,0.23183229992379495
50.09,50.002405692043226,0.219335481649086
50.1,50.0021393333821,0.20683832066274732
50.11,50.00188859637623,0.1943408364915733
50.12,50.001653481417385,0.1818430486628877
50.13,50.001433988872954,0.1693449767044477
50.14,50.00123011908588,0.15684664014454341
50.15,50.001041872374714,0.14434805851178822
50.16,50.00086924903358,0.1318492513352254
50.17,50.00071224933221,0.11935023814421442
50.18,50.00057087351591,0.10685103846849842
50.19,50.000445121805605,0.09435167183806215
50.2,50.000334994397754,0.08185215778313903
50.21,50.00024049146443,0.06935251583424673
50.22,50.00016161315332,0.056852765522062754
50.23,50.00009835958764,0.04435292637744226
50.24,50.00005073086625,0.03185301793137185
50.25,50.000018727063555,0.019353059714990906
50.26,50.00000234822956,0.006853071259438792
50.27,50.000001594389865,-0.005646927904024324
50.28,50.000016465545656,-0.018146918244163146
50.29,50.00004696167366,-0.030646880229749485
50.3,50.000093082726266,-0.043146794329590676
50.31,50.000154828631395,-0.05564664101258643
50.32,50.00023219929257,-0.06814640074770395
50.33,50.0003251945889,-0.08064605400408098
50.34,50.00043381437507,-0.09314558125102934
50.35,50.00055805848139,-0.10564496295801717
50.36,50.00069792671369,-0.11814417959476486
50.37,50.00085341885345,-0.1306432116312699
50.38,50.00102453465772,-0.1431420395377785
50.39,50.00121127385911,-0.1556406437848672
50.4,50.00141363616585,-0.1681390048434963
50.41,50.00163162126175,-0.18063710318495652
50.42,50.00186522880621,-0.19313491928099324
50.43,50.002114458434214,-0.20563243360374273
50.44,50.00237930975634,-0.21812962662587054
50.45,50.00265978235876,-0.23062647882048992
50.46,50.002955875803245,-0.24312297066128252
50.47,50.00326758962714,-0.25561908262248423
50.48,50.003594923343385,-0.2681147951789242
50.49,50.00393787644053,-0.2806100888060534
50.5,50.00429644838272,-0.29310494397996933
50.51,50.00467063860965,-0.30559934117747645
50.52,50.00506044653669,-0.31809326087607914
50.53,50.00546587155476,-0.33058668355402077
